name;query_10;query_11;query_12;query_13;query_14;query_15;query_17;query_18;query_19;query_2;query_20;query_21;query_26;query_27;query_28;query_29;query_30;query_31;query_32;query_33;query_34;query_35;query_36;query_4;query_5;query_7;query_9;all
Manual subtitles;0.5000;0.1000;0.5000;0.2000;0.0000;0.3000;0.0000;0.0000;0.2000;0.1000;0.2000;0.0000;0.0000;0.1000;0.2000;0.3000;0.0000;0.2000;0.1000;0.9000;0.2000;0.3000;0.1000;0.1000;0.0000;0.0000;0.8000;0.2000
LIMSI transcripts;0.4000;0.0000;0.1000;0.0000;0.0000;0.2000;0.1000;0.0000;0.4000;0.1000;0.5000;0.2000;0.0000;0.2000;0.1000;0.5000;0.1000;0.0000;0.0000;0.8000;0.0000;0.0000;0.1000;0.2000;0.0000;0.2000;0.3000;0.1667
LIUM transcripts;0.2000;0.1000;0.3000;0.1000;0.1000;0.0000;0.0000;0.0000;0.2000;0.0000;0.4000;0.1000;0.0000;0.1000;0.3000;0.6000;0.1000;0.1000;0.0000;0.8000;0.1000;0.0000;0.0000;0.2000;0.0000;0.1000;0.0000;0.1444
NST/Sheffield;0.4000;0.1000;0.1000;0.1000;0.0000;0.0000;0.0000;0.0000;0.1000;0.1000;0.4000;0.0000;0.0000;0.2000;0.2000;0.3000;0.1000;0.2000;0.0000;0;0.0000;0.1000;0.2000;0.1000;0.0000;0.2000;0.5000;0.1308
All transcript and subtitle;0.2000;0.0000;0.2000;0.3000;0.0000;0.4000;0.2000;0.0000;0.0000;0.0000;0.4000;0.0000;0.0000;0.2000;0.3000;0.5000;0.1000;0.0000;0.0000;0.7000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1000;0.2000;0.1345
Manual subtitles (Concept2);0.6000;0.2000;0.5000;0.2000;0.3000;0.3000;0.0000;0.2000;0.3000;0.2000;0.4000;0.1000;0.2000;0.2000;0.5000;0.6000;0.1000;0.3000;0.4000;0.9000;0.2000;0.5000;0.1000;0.3000;0.0000;0.2000;0.5000;0.3074
LIMSI transcripts (Concept2);0.3000;0.1000;0.1000;0.0000;0.6000;0.2000;0.1000;0.2000;0.3000;0.1000;0.5000;0.1000;0.4000;0.2000;0.2000;0.6000;0.2000;0.3000;0.9000;0.7000;0.3000;0.4000;0.1000;0.3000;0.1000;0.3000;0.3000;0.2926
LIUM transcripts (Concept2);0.2000;0.1000;0.2000;0.1000;0.8000;0.0000;0.0000;0.9000;0.3000;0.1000;0.4000;0.1000;0.4000;0.4000;0.2000;0.5000;0.1000;0.2000;0.7000;0.9000;0.2000;0.2000;0.0000;0.1000;0.1000;0.3000;0.1000;0.2815
NST/Sheffield (Concept2);0.1000;0.1000;0.1000;0.1000;0.3000;0.0000;0.0000;0.4000;0.3000;0.0000;0.3000;0.2000;0.5000;0.3000;0.3000;0.2000;0.0000;0.2000;0.9000;0;0.2000;0.3000;0.1000;0.3000;0.1000;0.1000;0.4000;0.2231
All transcript and subtitle (Concept2);0.3000;0.0000;0.2000;0.3000;0.0000;0.4000;0.2000;0.0000;0.4000;0.0000;0.2000;0.0000;0.0000;0.2000;0.3000;0.4000;0.1000;0.0000;0.2000;0.7000;0.1000;0.1000;0.0000;0.0000;0.0000;0.2000;0.2000;0.1586
